nfi_plot,loc_id,meas_date,meas_num,plot_type,nom_plot_size,meas_plot_size,plot_split,species_smtnum,bindex_stshannon,bindex_steven,bindex_stmargalef,plotbio_smt_stemwood_live,plotbio_smt_stembark_live,plotbio_smt_branches_live,plotbio_smt_foliage_live,plotbio_smt_stemwood_dead,plotbio_smt_stembark_dead,plotbio_smt_branches_dead
798221,0,2006-JUL-28,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,1.37,0.46,0.45,0.36,0.23,0.07,0.06
805121,0,2006-JUL-22,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,2.82,0.88,1.10,0.66,0.15,0.04,0.15
805126,0,2006-JUL-22,0,STC,-1.0000,0.0050,F,2,0.64,0.92,0.56,0.89,0.27,0.25,0.24,0.26,0.06,0.04
805141,0,2005-AUG-10,0,STC,-1.0000,0.0050,F,2,0.56,0.81,0.40,3.19,0.79,0.73,1.05,2.35,0.49,0.35
806156,0,2006-AUG-04,0,STC,0.0040,0.0040,F,1,0.00,,0.00,9.20,1.62,3.49,11.54,0.05,0.01,0.01
806156,0,2015-JUN-30,1,STC,0.0050,0.0050,N,1,0.00,,0.00,13.94,2.41,3.92,10.14,0.08,0.01,0.02
811951,0,2006-JUL-20,0,STC,-1.0000,0.0050,F,2,0.47,0.68,0.42,1.01,0.28,0.20,0.59,3.87,0.97,0.44
812001,0,2006-JUL-22,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,1.04,0.22,0.55,0.90,1.95,0.49,0.39
812016,0,2006-JUL-27,0,STC,-1.0000,0.0050,F,3,0.88,0.80,0.76,1.05,0.37,0.10,0.50,0.29,0.00,0.00
812056,0,2005-AUG-08,0,STC,-1.0000,0.0050,F,5,1.58,0.98,1.28,2.76,0.78,0.94,0.81,0.80,0.00,0.00
818836,0,2006-JUL-20,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,1.09,0.24,0.18,0.36,0.00,0.00,0.00
818856,0,2006-JUL-21,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,1.69,0.47,0.27,1.05,0.00,0.00,0.00
825796,0,2005-AUG-09,0,STC,-1.0000,0.0050,F,3,1.00,0.91,0.71,1.94,0.51,0.51,0.70,0.24,0.00,0.00
826786,0,2006-AUG-03,0,STC,0.0040,0.0040,F,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
826786,0,2015-JUL-02,1,STC,0.0050,0.0050,N,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
832646,0,2006-JUL-23,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,2.30,0.56,0.43,1.13,0.77,0.21,0.15
832656,0,2006-JUL-23,0,STC,-1.0000,0.0050,F,2,0.68,0.99,0.33,2.54,0.91,1.50,0.75,0.00,0.00,0.00
833646,0,2006-AUG-03,0,STC,0.0040,0.0040,F,2,0.30,0.44,0.42,6.35,1.17,1.57,3.27,0.00,0.00,0.00
833646,0,2015-JUL-04,1,STC,0.0050,0.0050,N,2,0.23,0.34,0.36,7.67,1.41,2.39,4.67,0.00,0.00,0.00
839536,0,2006-JUL-25,0,STC,-1.0000,0.0050,F,2,0.44,0.63,0.34,4.64,1.25,0.76,2.09,3.00,0.69,0.48
839551,0,2005-AUG-11,0,STC,-1.0000,0.0050,F,4,1.28,0.92,1.54,0.31,0.13,0.18,0.10,0.73,0.11,0.01
839566,0,2005-AUG-08,0,STC,-1.0000,0.0050,F,2,0.69,1.00,0.72,1.07,0.33,0.44,0.24,1.06,0.08,0.07
846411,0,2006-JUL-27,0,STC,-1.0000,0.0050,F,2,0.53,0.76,0.46,0.55,0.20,0.05,0.27,0.04,0.02,0.00
846436,0,2005-AUG-12,0,STC,-1.0000,0.0050,F,2,0.25,0.35,0.37,4.40,1.01,0.76,1.74,0.81,0.11,0.01
846466,0,2005-AUG-10,0,STC,-1.0000,0.0050,F,2,0.61,0.88,0.43,1.92,0.61,0.23,0.50,4.14,0.00,0.00
853296,0,2005-AUG-13,0,STC,-1.0000,0.0050,F,7,1.52,0.78,1.55,7.38,2.12,1.96,1.77,1.08,0.13,0.37
853326,0,2005-AUG-12,0,STC,-1.0000,0.0050,F,4,1.28,0.92,1.14,4.64,1.30,0.51,1.36,0.58,0.16,0.16
853346,0,2005-AUG-09,0,STC,-1.0000,0.0050,F,4,1.07,0.77,1.21,3.05,0.88,1.10,0.67,0.00,0.00,0.00
854281,1,2015-JUL-05,0,STC,0.0050,0.0050,N,3,0.79,0.72,0.54,12.80,2.32,4.34,9.73,0.20,0.04,0.09
860171,0,2006-JUL-26,0,STC,-1.0000,0.0050,F,2,0.30,0.44,0.42,1.06,0.27,0.15,0.47,0.06,0.02,0.03
