nfi_plot,loc_id,meas_num,species_num,genus,species,variety,species_strel
963511,0,1,3,PICE,GLA,,0.200
963521,0,0,1,PICE,GLA,,0.977
963521,0,0,2,BETU,PAP,,0.023
964391,0,0,1,ABIE,BAL,,0.231
964391,0,0,2,ACER,PEN,,0.154
964391,0,0,3,CORY,COR,,0.154
964391,0,0,4,PICE,GLA,,0.154
964391,0,0,5,ACER,SAH,,0.077
964391,0,0,6,ACER,SPI,,0.077
964391,0,0,7,BETU,PAP,,0.077
964391,0,0,8,PICE,RUB,,0.077
964391,0,1,1,ABIE,BAL,,0.333
964391,0,1,2,ACER,PEN,,0.167
964391,0,1,3,ACER,SAH,,0.167
964391,0,1,4,PICE,GLA,,0.167
964391,0,1,5,PICE,RUB,,0.167
964406,0,0,1,ACER,PEN,,0.500
964406,0,0,2,ACER,RUB,,0.333
964406,0,0,3,BETU,ALL,,0.167
964406,0,1,1,ACER,PEN,,0.571
964406,0,1,2,ACER,RUB,,0.429
964446,0,0,1,BETU,POP,,0.353
964446,0,0,2,ACER,RUB,,0.294
964446,0,0,3,PICE,MAR,,0.235
964446,0,0,4,ABIE,BAL,,0.059
964446,0,0,5,BETU,PAP,,0.059
964446,0,1,1,ACER,RUB,,0.429
964446,0,1,2,PICE,MAR,,0.429
964446,0,1,3,BETU,PAP,,0.143
964496,0,0,1,ALNU,INC,RUG,0.600
964496,0,0,2,POPU,TRE,,0.291
964496,0,0,3,ABIE,BAL,,0.073
964496,0,0,4,PICE,GLA,,0.036
964496,0,1,1,ALNU,INC,RUG,0.538
964496,0,1,2,POPU,TRE,,0.231
964496,0,1,3,ABIE,BAL,,0.154
964496,0,1,4,ALNU,INC,,0.077
970321,0,0,1,POPU,TRE,,0.750
970321,0,0,2,PICE,GLA,,0.250
970321,0,1,1,PICE,GLA,,1.000
970336,0,0,1,BETU,GLA,,0.895
970336,0,0,2,POPU,TRE,,0.105
970336,0,1,1,PICE,MAR,,1.000
971181,0,0,1,PICE,MAR,,0.682
971181,0,0,2,BETU,PAP,,0.227
971181,0,0,3,ABIE,BAL,,0.045
971181,0,0,4,SORB,AME,,0.045
971181,0,1,1,PICE,MAR,,0.900
971181,0,1,2,ABIE,BAL,,0.100
971196,1,0,1,PICE,MAR,,0.542
971196,1,0,2,ABIE,BAL,,0.442
971196,1,0,3,BETU,PAP,,0.008
971196,1,0,4,PICE,GLA,,0.008
971201,0,0,1,PICE,MAR,,1.000
971201,0,1,1,PICE,MAR,,1.000
971276,0,0,1,PICE,GLA,,0.364
971276,0,0,2,BETU,PAP,,0.318
971276,0,0,3,PICE,MAR,,0.227
971276,0,0,4,SALI,SPP,,0.091
971276,0,1,1,PICE,GLA,,0.385
971276,0,1,2,BETU,PAP,,0.308
971276,0,1,3,PICE,MAR,,0.308
971281,0,0,1,ACER,RUB,,0.308
971281,0,0,2,ABIE,BAL,,0.231
971281,0,0,3,PICE,RUB,,0.231
971281,0,0,4,BETU,PAP,,0.154
971281,0,0,5,ACER,PEN,,0.077
971281,0,1,1,ABIE,BAL,,0.286
971281,0,1,2,ACER,RUB,,0.286
971281,0,1,3,PICE,RUB,,0.286
971281,0,1,4,ACER,PEN,,0.071
971281,0,1,5,BETU,PAP,,0.071
971281,0,2,1,ACER,RUB,,0.400
971281,0,2,2,ABIE,BAL,,0.300
971281,0,2,3,PICE,MAR,,0.200
971281,0,2,4,BETU,PAP,,0.100
971356,0,0,1,PICE,MAR,,0.571
971356,0,0,2,ABIE,BAL,,0.429
971356,0,1,1,PICE,MAR,,0.603
971356,0,1,2,ABIE,BAL,,0.397
977196,0,0,1,PICE,GLA,,0.667
977196,0,0,2,SALI,SCO,,0.333
977196,0,1,1,PICE,GLA,,0.833
977196,0,1,2,POPU,TRE,,0.167
977211,0,0,1,PICE,MAR,,0.700
977211,0,0,2,LARI,LAR,,0.300
977211,0,1,1,LARI,LAR,,1.000
977281,0,0,1,PINU,BAN,,0.980
977281,0,0,2,PICE,MAR,,0.020
977281,0,1,1,PINU,BAN,,0.574
977281,0,1,2,PICE,MAR,,0.426
978026,0,0,1,PICE,MAR,,0.917
978026,0,0,2,AMEL,SPP,,0.083
978026,0,1,1,PICE,MAR,,0.929
978026,0,1,2,LEDU,GRO,,0.071
978036,1,0,1,PICE,MAR,,0.857
978036,1,0,2,ABIE,BAL,,0.095
978036,1,0,3,LEDU,GRO,,0.048
978056,1,0,1,PICE,MAR,,0.833
978056,1,0,2,SALI,HUM,,0.167
978086,1,0,1,ABIE,BAL,,0.786
978086,1,0,2,AMEL,BAR,,0.107
978086,1,0,3,SORB,DEC,,0.071
978086,1,0,4,PICE,MAR,,0.036
978136,0,0,1,ABIE,BAL,,0.654
978136,0,0,2,PRUN,PEN,,0.231
978136,0,0,3,ACER,RUB,,0.115
978136,0,1,1,ACER,RUB,,0.662
978136,0,1,2,ABIE,BAL,,0.155
978136,0,1,3,SORB,AME,,0.155
978136,0,1,4,BETU,PAP,,0.014
978136,0,1,5,PRUN,PEN,,0.014
978156,0,0,1,PRUN,PEN,,0.541
978156,0,0,2,ACER,SPI,,0.189
978156,0,0,3,ACER,SAC,,0.108
978156,0,0,4,VIBU,SPP,,0.081
978156,0,0,5,ACER,PEN,,0.027
978156,0,0,6,BETU,ALL,,0.027
978156,0,0,7,FAGU,GRA,,0.027
978231,0,0,1,PICE,RUB,,1.000
