nfi_plot,loc_id,meas_num,species_num,genus,species,variety,percent
964496,0,1,6,BETU,PAP,PAP,1.8
970321,0,0,1,PICE,GLA,,46.2
970321,0,0,2,PINU,BAN,,27.2
970321,0,0,3,BETU,NEO,,26.6
970321,0,1,1,PICE,GLA,,50.7
970321,0,1,2,BETU,PAP,,28.6
970321,0,1,3,PINU,BAN,,20.7
971181,0,1,1,ABIE,BAL,,100.0
971196,0,0,1,ABIE,BAL,,45.5
971196,0,0,2,PICE,MAR,,28.5
971196,0,0,3,BETU,PAP,,15.3
971196,0,0,4,SORB,AME,,8.4
971196,0,0,5,PICE,GLA,,2.4
971196,1,0,1,PICE,MAR,,79.4
971196,1,0,2,PICE,GLA,,18.9
971196,1,0,3,ABIE,BAL,,1.7
971201,0,0,1,PICE,MAR,,100.0
971201,0,1,1,PICE,MAR,,100.0
971276,0,0,1,PICE,GLA,,47.8
971276,0,0,2,PICE,MAR,,34.5
971276,0,0,3,BETU,PAP,,12.7
971276,0,0,4,ABIE,BAL,,5.0
971276,0,1,1,PICE,GLA,,41.1
971276,0,1,2,PICE,MAR,,39.3
971276,0,1,3,BETU,PAP,,14.7
971276,0,1,4,ABIE,BAL,,4.9
971281,0,0,1,POPU,TRE,,34.6
971281,0,0,2,BETU,PAP,,18.4
971281,0,0,3,ABIE,BAL,,17.6
971281,0,0,4,PICE,GLA,,10.5
971281,0,0,5,PICE,RUB,,7.6
971281,0,0,6,ACER,RUB,,6.9
971281,0,0,7,POPU,GRA,,4.5
971281,0,1,1,POPU,TRE,,32.5
971281,0,1,2,BETU,PAP,,18.7
971281,0,1,3,ABIE,BAL,,18.3
971281,0,1,4,PICE,GLA,,11.4
971281,0,1,5,ACER,RUB,,9.1
971281,0,1,6,PICE,RUB,,8.5
971281,0,1,7,POPU,GRA,,1.5
971281,0,2,1,POPU,TRE,,33.3
971281,0,2,2,ABIE,BAL,,20.0
971281,0,2,3,BETU,PAP,,14.8
971281,0,2,4,PICE,GLA,,11.9
971281,0,2,5,ACER,RUB,,10.6
971281,0,2,6,PICE,RUB,,9.4
971356,0,0,1,PICE,MAR,,62.7
971356,0,0,2,ABIE,BAL,,29.2
971356,0,0,3,LARI,LAR,,8.1
971356,0,1,1,PICE,MAR,,61.2
971356,0,1,2,ABIE,BAL,,27.9
971356,0,1,3,LARI,LAR,,10.9
977196,0,0,1,PICE,GLA,,82.5
977196,0,0,2,POPU,BAL,,10.0
977196,0,0,3,POPU,TRE,,7.5
977196,0,1,1,PICE,GLA,,87.7
977196,0,1,2,POPU,BAL,,6.6
977196,0,1,3,POPU,TRE,,5.7
977211,0,0,1,PICE,MAR,,100.0
977211,0,1,1,PICE,MAR,,100.0
977281,0,0,1,PINU,BAN,,100.0
977281,0,1,1,PINU,BAN,,83.5
977281,0,1,2,PICE,GLA,,16.5
978026,0,0,1,PICE,MAR,,100.0
978026,0,1,1,PICE,MAR,,100.0
978036,0,0,1,PICE,MAR,,66.8
978036,0,0,2,ABIE,BAL,,29.9
978036,0,0,3,BETU,PAP,,3.3
978036,1,0,1,PICE,MAR,,89.2
978036,1,0,2,ABIE,BAL,,10.8
978056,0,0,1,BETU,PAP,,100.0
978056,1,0,1,PICE,MAR,,96.7
978056,1,0,2,PINU,BAN,,3.3
978086,0,0,1,PICE,MAR,,96.3
978086,0,0,2,ABIE,BAL,,3.7
978086,1,0,1,ABIE,BAL,,50.9
978086,1,0,2,PICE,MAR,,49.1
978136,0,0,1,ABIE,BAL,,100.0
978136,0,1,1,ABIE,BAL,,96.3
978136,0,1,2,PICE,GLA,,3.7
978156,0,0,1,ACER,SAC,,62.8
978156,0,0,2,BETU,ALL,,22.9
978156,0,0,3,FAGU,GRA,,9.2
978156,0,0,4,ABIE,BAL,,5.2
978231,0,0,1,PICE,RUB,,70.8
978231,0,0,2,ABIE,BAL,,10.2
978231,0,0,3,ACER,RUB,,9.1
978231,0,0,4,POPU,TRE,,8.8
978231,0,0,5,BETU,POP,,1.2
978231,0,1,1,PICE,RUB,,71.7
978231,0,1,2,ABIE,BAL,,14.4
978231,0,1,3,ACER,RUB,,7.6
978231,0,1,4,POPU,TRE,,6.3
984081,0,0,1,PICE,MAR,,100.0
984081,0,1,1,PICE,MAR,,100.0
984981,0,0,1,POPU,TRE,,45.3
984981,0,0,2,PICE,MAR,,35.3
984981,0,0,3,PICE,GLA,,12.5
984981,0,0,4,ABIE,BAL,,5.8
984981,0,0,5,BETU,PAP,,1.0
984981,1,0,1,ABIE,BAL,,61.5
